RFM_Segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,Customer Signal,Customer Meaning,segment,Opportunity,NBO_Action,Subs,TR,DR,VR
About to Sleep,low,very_high,Rapid Expansion,Declining,Rapid VIP Surge at Risk,Fast expansion but unstable,Retention Risk,Retention,VIP expansion shield,,,,
About to Sleep,low,very_high,Rapid Expansion,Dormant,Boom-to-Dormant VIP Voice,Rapid rise followed by inactivity,Drop-Off Crisis,Activation,Reignite VIP,,,,
About to Sleep,low,very_high,Rapid Expansion,Early Recovery,Rapid VIP Recovery Engine,Fast premium expansion with recovery,High Opportunity,Upsell,VIP turbo boost,,,,
About to Sleep,low,very_high,Rapid Expansion,Strong Growth,Power VIP Return,Exceptional premium comeback,Elite Growth Segment,Maximum Growth,VIP powerhouse,,,,
About to Sleep,low,very_high,Rapid Expansion,Gradual Growth,Sustained VIP Momentum,Fast growth stabilizing,Future Loyal VIP,Loyalty Growth,Sustain VIP premium,,,,
About to Sleep,low,very_high,Rapid Expansion,Rapid Expansion,Complete VIP Rebirth,Maximum premium voice transformation,Best Segment,User Maximization,VIP rebirth elite,,,,
About to Sleep,low,very_high,Rapid Expansion,no_trend,Stable VIP Expansion,Fast premium growth stabilized,Loyalty Opportunity,Loyalty Growth,VIP expansion lock,,,,
About to Sleep,low,very_high,no_trend,Declining,Stable VIP Weakening,Stable premium voice user declining,Retention Risk,Retention,VIP reminder,,,,
About to Sleep,low,very_high,no_trend,Dormant,Stable Dormant VIP Voice,Stable premium user inactive,Dormant Threat,Activation,VIP wake-up,,,,
About to Sleep,low,very_high,no_trend,Early Recovery,Stable VIP Recovery Spark,Stable premium user showing comeback,Recovery Potential,Nurture,VIP spark,,,,
About to Sleep,low,very_high,no_trend,Strong Growth,Stable to Strong VIP Growth,Stable user rapidly accelerating,Growth Opportunity,Upsell,VIP premium boost,,,,
About to Sleep,low,very_high,no_trend,Gradual Growth,Stable Gradual VIP Return,Slow healthy premium comeback,Nurture Opportunity,Nurture,VIP gradual ladder,,,,
About to Sleep,low,very_high,no_trend,Rapid Expansion,Stable VIP Breakout,Stable premium user surging,Emerging Elite,Aggressive Win-Back,VIP breakout premium,,,,
About to Sleep,low,very_high,no_trend,no_trend,Consistent VIP Voice User,Low data but very high voice stable,Base VIP Segment,Retention,Maintain VIP,,,,
About to Sleep,low,Zero,Declining,Declining,Low Data User Fading Out,Low data-only customer steadily disengaging,High Churn Risk,Retention,Light data rescue,,,,
About to Sleep,low,Zero,Declining,Dormant,Low Digital User Going Dormant,Light digital user slipping inactive,Dormancy Risk,Activation,Starter pack revive,,,,
About to Sleep,low,Zero,Declining,Early Recovery,Early Low Data Recovery,Low data customer showing comeback signs,Recovery Opportunity,Nurture,Entry data nurture,,,,
About to Sleep,low,Zero,Declining,Strong Growth,Low User Digital Awakening,Strong rebound from low data base,Growth Opportunity,Upsell,Data starter boost,,,,
About to Sleep,low,Zero,Declining,Gradual Growth,Slow Data Improvement,Gradual return from weak engagement,Recovery Potential,Nurture,Gradual data build,,,,
About to Sleep,low,Zero,Declining,Rapid Expansion,Rapid Low Data Activation,Sudden increase from weak digital base,Emerging Opportunity,Aggressive Win-Back,Fast data activation,,,,
About to Sleep,low,Zero,Declining,no_trend,Stable Low Data Decline,Low user steadily weakening,Retention Risk,Retention,Data retention light,,,,
About to Sleep,low,Zero,Dormant,Declining,Dormant Low Digital User,Low data user becoming fully disengaged,Severe Dormancy,Activation,Reactivation basic,,,,
About to Sleep,low,Zero,Dormant,Dormant,Fully Dormant Low User,Minimal digital user inactive,Maximum Dormancy,Win-Back,Wake dormant user,,,,
About to Sleep,low,Zero,Dormant,Early Recovery,Low User Reawakening,Dormant user beginning to return,Recovery Potential,Nurture,Starter comeback,,,,
About to Sleep,low,Zero,Dormant,Strong Growth,Strong Low User Comeback,Strong re-engagement from low base,Growth Segment,Upsell,Data expansion starter,,,,
About to Sleep,low,Zero,Dormant,Gradual Growth,Gradual Dormant Recovery,Slow return from inactivity,Recovery Segment,Nurture,Gentle user restore,,,,
About to Sleep,low,Zero,Dormant,Rapid Expansion,Explosive Low User Rebirth,Rapid comeback from dormancy,Emerging User,Aggressive Win-Back,Turbo basic relaunch,,,,
About to Sleep,low,Zero,Dormant,no_trend,Stable Dormant Low User,Inactive low-engagement user,Dormant Segment,Activation,Re-engage lite,,,,
About to Sleep,low,Zero,Early Recovery,Declining,Fragile Data Recovery,Recovery signs but weak stability,Recovery Risk,Retention,Protect starter recovery,,,,
About to Sleep,low,Zero,Early Recovery,Dormant,Mixed Low Recovery,User partly recovering but unstable,Mixed Segment,Nurture,Cross-service entry restore,,,,
About to Sleep,low,Zero,Early Recovery,Early Recovery,Balanced Low Recovery,Low user steadily recovering,Recovery Opportunity,Nurture,Recovery starter,,,,
About to Sleep,low,Zero,Early Recovery,Strong Growth,Accelerated Entry Digital Growth,Recovery rapidly strengthening,Growth Potential,Upsell,Data jumpstart,,,,
About to Sleep,low,Zero,Early Recovery,Gradual Growth,Steady Low Recovery,Slow but healthy comeback,Growth Opportunity,Nurture,Steady digital ladder,,,,
About to Sleep,low,Zero,Early Recovery,Rapid Expansion,Fast Low User Activation,Rapid return from weak state,Emerging Opportunity,Aggressive Win-Back,Quick-start user,,,,
About to Sleep,low,Zero,Early Recovery,no_trend,Stable Low Recovery User,Recovered and stable,Retention Opportunity,Nurture,Recovery maintain,,,,
About to Sleep,low,Zero,Strong Growth,Declining,Strong Low Data User at Risk,Strong growth but warning signs,Retention Priority,Retention,Momentum protect lite,,,,
About to Sleep,low,Zero,Strong Growth,Dormant,Interrupted Low Data Growth,Low user growth disrupted,Recovery Risk,Activation,Restart growth,,,,
About to Sleep,low,Zero,Strong Growth,Early Recovery,Recovery-Led Data Builder,Growth supported by recovery,Emerging Segment,Upsell,Data builder,,,,
About to Sleep,low,Zero,Strong Growth,Strong Growth,Full Digital Activation,Low user transforming rapidly,High Potential Segment,User Growth,Digital transformation,,,,
About to Sleep,low,Zero,Strong Growth,Gradual Growth,Sustainable Entry Growth,Strong growth stabilizing,Growth Opportunity,Loyalty Growth,Sustain starter growth,,,,
About to Sleep,low,Zero,Strong Growth,Rapid Expansion,Explosive Entry User Growth,Massive low-base digital rise,Top Opportunity,Maximum Growth,Data infinity starter,,,,
About to Sleep,low,Zero,Strong Growth,no_trend,Stable Strong Low User,Strong growth stabilizing,Loyalty Potential,Loyalty Growth,Growth lock lite,,,,
About to Sleep,low,Zero,Gradual Growth,Declining,Slow Builder at Risk,Gradual user weakening,Retention Risk,Retention,Protect builder lite,,,,
About to Sleep,low,Zero,Gradual Growth,Dormant,Gradual User Stall,Slow growth fading,Dormant Risk,Activation,Restart builder,,,,
About to Sleep,low,Zero,Gradual Growth,Early Recovery,Healthy Low Data Builder,Steady low user growth,Nurture Potential,Nurture,Builder nurture,,,,
About to Sleep,low,Zero,Gradual Growth,Strong Growth,Accelerating Entry Builder,Gradual user accelerating,Growth Opportunity,Upsell,Builder acceleration,,,,
About to Sleep,low,Zero,Gradual Growth,Gradual Growth,Consistent Entry Growth,Steady low digital build,Growth Segment,Loyalty Growth,Consistency path,,,,
About to Sleep,low,Zero,Gradual Growth,Rapid Expansion,Breakout Entry User,Gradual user suddenly expanding,Future Opportunity,Aggressive Win-Back,Breakout starter,,,,
About to Sleep,low,Zero,Gradual Growth,no_trend,Stable Builder User,Slow but stable improvement,Nurture Segment,Nurture,Builder sustain,,,,
About to Sleep,low,Zero,Rapid Expansion,Declining,Rapid User Surge at Risk,Fast expansion but unstable,Retention Threat,Retention,Expansion shield lite,,,,
About to Sleep,low,Zero,Rapid Expansion,Dormant,Boom-to-Dormant Entry User,Fast rise followed by inactivity,Drop-Off Risk,Activation,Reignite starter,,,,
About to Sleep,low,Zero,Rapid Expansion,Early Recovery,Rapid Entry Recovery Engine,Fast growth with recovery,High Opportunity,Upsell,Turbo entry boost,,,,
About to Sleep,low,Zero,Rapid Expansion,Strong Growth,Power Entry Growth,Return with strong acceleration,Top Growth Segment,Maximum Growth,Power starter,,,,
About to Sleep,low,Zero,Rapid Expansion,Gradual Growth,Sustained Entry Momentum,Rapid growth stabilizing,Future Loyal User,Loyalty Growth,Sustain entry,,,,
About to Sleep,low,Zero,Rapid Expansion,Rapid Expansion,Complete Entry User Rebirth,Maximum low-user transformation,Best Opportunity,User Maximization,Rebirth starter,,,,
About to Sleep,low,Zero,Rapid Expansion,no_trend,Stable Entry Expansion,Fast growth stabilized,Loyalty Potential,Loyalty Growth,Expansion lock lite,,,,
About to Sleep,low,Zero,no_trend,Declining,Stable Low Data Weakening,Stable but weakening,Retention Risk,Retention,Reminder lite,,,,
About to Sleep,low,Zero,no_trend,Dormant,Stable Dormant Entry User,Stable low user going inactive,Dormant Threat,Activation,Wake entry,,,,
About to Sleep,low,Zero,no_trend,Early Recovery,Stable Recovery Spark,Stable base with comeback signs,Recovery Opportunity,Nurture,Starter spark,,,,
About to Sleep,low,Zero,no_trend,Strong Growth,Stable to Strong Data Shift,Stable low user accelerating,Growth Potential,Upsell,Booster lite,,,,
About to Sleep,low,Zero,no_trend,Gradual Growth,Stable Gradual Data Return,Slow healthy improvement,Nurture Opportunity,Nurture,Gradual path,,,,
About to Sleep,low,Zero,no_trend,Rapid Expansion,Stable Breakout User,Stable low user rapidly rising,Emerging Segment,Aggressive Win-Back,Breakout lite,,,,
About to Sleep,low,Zero,no_trend,no_trend,Consistent Low Data User,Low data-only user stable but weak,Base Segment,Retention,Maintain light user,,,,
About to Sleep,medium,low,Declining,Declining,Balanced Low Engagement Decline,Medium data + low voice customer reducing across both services,Churn Risk,Retention Needed,Cross-service saver offer,,,,
About to Sleep,medium,low,Declining,Dormant,Data Active Voice Fading,User retaining moderate data but voice nearing dormancy,Voice Drop Risk,Voice Reactivation,Voice booster pack,,,,
About to Sleep,medium,low,Declining,Early Recovery,Recovery With Weak Voice,Data declining while voice stabilizes,Mixed Recovery,Nurture,Digital + voice starter,,,,
About to Sleep,medium,low,Declining,Strong Growth,Voice Recovery Opportunity,Voice rebounding despite weak data,Cross-Sell Growth,Upsell,Voice-data combo,,,,
About to Sleep,medium,low,Declining,Gradual Growth,Slow Voice Rebuild,Gradual voice return amid decline,Nurture Potential,Nurture,Voice nurture,,,,
About to Sleep,medium,low,Declining,Rapid Expansion,Rapid Voice Return,Strong voice comeback from weak state,Emerging Opportunity,Aggressive Win-Back,Voice comeback plan,,,,
About to Sleep,medium,low,Declining,no_trend,Stable Weakening User,Stable low-voice medium-data user weakening,Retention Threat,Retention,Usage reminder,,,,
About to Sleep,medium,low,Dormant,Declining,Digital Dormancy Risk,User nearing inactivity with weakening services,High Churn Risk,Activation,Wake-up combo,,,,
About to Sleep,medium,low,Dormant,Dormant,Fully Dormant Balanced User,Medium-low engagement customer inactive,Dormant Segment,Win-Back,Reactivation bundle,,,,
About to Sleep,medium,low,Dormant,Early Recovery,Early Reactivation User,Dormant user showing first comeback signs,Recovery Opportunity,Nurture,Starter recovery,,,,
About to Sleep,medium,low,Dormant,Strong Growth,Strong Voice-Led Reactivation,Voice recovering strongly from dormancy,Emerging Growth,Upsell,Voice-led revival,,,,
About to Sleep,medium,low,Dormant,Gradual Growth,Gradual Recovery Path,Slow reactivation from dormancy,Nurture Opportunity,Nurture,Recovery ladder,,,,
About to Sleep,medium,low,Dormant,Rapid Expansion,Explosive Reactivation,Sudden return after dormancy,High Potential,Aggressive Win-Back,Fast-track restore,,,,
About to Sleep,medium,low,Dormant,no_trend,Stable Dormant Mixed User,Dormant but moderate digital base,Activation Opportunity,Activation,Soft wake-up,,,,
About to Sleep,medium,low,Early Recovery,Declining,Recovery Under Pressure,Early recovery with declining trend,Fragile Recovery,Retention,Protect comeback,,,,
About to Sleep,medium,low,Early Recovery,Dormant,Mixed Recovery Instability,Recovery signs but voice dormant,Mixed Segment,Nurture,Hybrid rebuild,,,,
About to Sleep,medium,low,Early Recovery,Early Recovery,Balanced Cross-Service Recovery,Both services slowly recovering,Recovery Segment,Nurture,Steady rebuild,,,,
About to Sleep,medium,low,Early Recovery,Strong Growth,Voice Accelerated Recovery,Voice growth accelerating overall recovery,Growth Potential,Upsell,Voice accelerator,,,,
About to Sleep,medium,low,Early Recovery,Gradual Growth,Steady Balanced Recovery,Moderate data + low voice steadily improving,Nurture Potential,Nurture,Growth path,,,,
About to Sleep,medium,low,Early Recovery,Rapid Expansion,Fast Recovery User,Rapid growth after early comeback,Emerging Opportunity,Aggressive Win-Back,Turbo restore,,,,
About to Sleep,medium,low,Early Recovery,no_trend,Stable Recovery User,Recovered and stabilizing,Retention Opportunity,Nurture,Recovery lock,,,,
About to Sleep,medium,low,Strong Growth,Declining,Data Growth With Voice Weakness,Strong data but weak voice stability,Cross-Sell Opportunity,Retention,Data-to-voice upsell,,,,
About to Sleep,medium,low,Strong Growth,Dormant,Strong Data Interrupted,Good data growth but voice dormant,Voice Activation Needed,Activation,Voice restart,,,,
About to Sleep,medium,low,Strong Growth,Early Recovery,Strong Data + Voice Recovery,Data-led growth with voice recovery,Emerging Loyal,Growth Opportunity,Combo growth,,,,
About to Sleep,medium,low,Strong Growth,Strong Growth,Full Balanced Growth,Strong improvement across both services,High Potential User,Maximum Growth,Multi-service maximize,,,,
About to Sleep,medium,low,Strong Growth,Gradual Growth,Sustainable Growth Path,Strong data with gradual voice improvement,Loyalty Opportunity,Loyalty Growth,Sustain growth,,,,
About to Sleep,medium,low,Strong Growth,Rapid Expansion,Explosive Multi-Service Growth,Rapid expansion across services,Premium Emerging User,User Maximization,Elite combo,,,,
About to Sleep,medium,low,Strong Growth,no_trend,Stable Data Growth User,Strong digital growth with stable voice,Growth Segment,Upsell,Data premium,,,,
About to Sleep,medium,low,Gradual Growth,Declining,Gradual Data Builder at Risk,Slow growth but weakening voice,Retention Risk,Retention,Builder shield,,,,
About to Sleep,medium,low,Gradual Growth,Dormant,Paused Voice Builder,Gradual data but voice inactivity,Voice Reactivation,Activation,Voice rebuild,,,,
About to Sleep,medium,low,Gradual Growth,Early Recovery,Healthy Builder Recovery,Gradual growth supported by recovery,Nurture Segment,Nurture,Builder nurture,,,,
About to Sleep,medium,low,Gradual Growth,Strong Growth,Accelerating Voice Builder,Gradual user with fast voice rise,Growth Opportunity,Upsell,Voice builder,,,,
About to Sleep,medium,low,Gradual Growth,Gradual Growth,Consistent Balanced Builder,Steady growth in both areas,Growth Segment,Loyalty Growth,Consistency reward,,,,
About to Sleep,medium,low,Gradual Growth,Rapid Expansion,Breakout Builder User,Gradual user entering breakout phase,Future High Value,Aggressive Win-Back,Breakout plan,,,,
